84.235.245.65:2096#AE [295.01ms]
80.227.252.11:8443#AE [307.88ms]
193.123.74.174:8443#AE [316.18ms]
45.86.228.104:443#AE [1363.42ms]
45.15.170.209:8443#AL [231.62ms]
193.108.112.65:443#AL [336.16ms]
193.108.112.212:443#AL [343.94ms]
185.75.243.102:443#AL [352.68ms]
2.56.206.114:2053#AM [189.55ms]
2.56.206.114:8443#AM [201.54ms]
185.234.57.153:443#AM [231.07ms]
45.83.143.121:443#AM [296.76ms]
2.56.204.246:443#AM [1185.58ms]
91.132.132.243:8443#AM [1257.67ms]
185.234.57.134:443#AM [1308.98ms]
132.243.203.204:8443#AT [139.75ms]
132.243.203.208:8443#AT [146.02ms]
132.243.203.222:8443#AT [146.51ms]
46.102.157.145:443#AT [147.8ms]
132.243.203.249:8443#AT [149.62ms]
83.138.55.113:443#AT [150.42ms]
132.243.203.229:8443#AT [150.74ms]
132.243.203.211:8443#AT [151.05ms]
132.243.203.210:8443#AT [152.57ms]
38.180.143.51:2053#AT [157.31ms]
170.64.163.39:443#AU [233.49ms]
209.38.82.114:443#AU [234.03ms]
209.38.23.235:443#AU [240.72ms]
51.161.196.38:443#AU [262.96ms]
172.236.62.238:443#AU [300.56ms]
194.14.208.56:443#AU [305.52ms]
123.51.23.113:443#AU [396.82ms]
192.9.175.224:443#AU [1231.49ms]
45.15.185.214:2053#AU [1328.13ms]
152.67.125.174:443#AU [1371.47ms]
45.8.147.11:443#BA [186.12ms]
45.15.178.235:8443#BA [222.38ms]
194.87.240.67:443#BE [148.64ms]
45.83.20.29:443#BE [160.76ms]
194.87.73.58:8443#BE [162.81ms]
128.127.180.240:2053#BE [213.78ms]
104.155.124.198:443#BE [316.1ms]
104.152.48.205:8443#BG [171.49ms]
45.136.198.114:8443#BG [173.86ms]
185.205.210.144:443#BG [178.75ms]
91.92.136.216:2053#BG [186.4ms]
185.141.61.113:2053#BG [188.48ms]
152.89.28.215:443#BG [189.14ms]
85.217.170.56:2053#BG [210.72ms]
95.164.21.123:443#BG [228.82ms]
185.82.218.224:443#BG [251.25ms]
185.162.10.111:8443#BG [254.07ms]
94.141.97.10:443#BR [325.88ms]
216.238.116.196:8443#BR [341.19ms]
216.238.110.198:8443#BR [341.76ms]
132.226.163.224:8443#BR [357.58ms]
38.180.78.255:443#BR [373.77ms]
38.180.196.40:2053#BR [391.15ms]
38.180.196.40:8443#BR [1387.14ms]
38.180.79.9:443#BR [1391.94ms]
185.66.71.149:2053#BY [188.01ms]
93.85.88.60:2053#BY [1221.59ms]
150.242.90.205:443#CA [173.65ms]
23.173.104.217:2053#CA [194.16ms]
44.32.224.197:443#CA [195.52ms]
23.173.104.239:2053#CA [196.66ms]
23.173.104.229:2053#CA [197.63ms]
44.32.224.195:443#CA [197.91ms]
23.173.104.216:2053#CA [211.23ms]
23.173.104.238:2053#CA [211.58ms]
23.173.104.236:2053#CA [212.61ms]
44.32.224.195:2053#CA [213.09ms]
194.246.118.199:443#CH [144.34ms]
45.90.59.18:443#CH [166.34ms]
103.63.30.230:443#CH [174.79ms]
45.59.123.139:443#CH [174.86ms]
45.59.117.171:443#CH [174.98ms]
79.132.141.165:8443#CH [177.3ms]
199.68.196.28:443#CH [178.08ms]
45.59.117.151:443#CH [179.28ms]
38.244.145.50:443#CH [179.92ms]
45.59.122.195:443#CH [180.57ms]
64.176.15.110:2053#CL [358.32ms]
64.176.9.170:8443#CL [362.88ms]
64.176.11.9:8443#CL [363.16ms]
64.176.10.195:443#CL [427.92ms]
5.180.29.91:443#CL [431.94ms]
64.176.4.154:8443#CL [1358.07ms]
39.108.133.242:8443#CN [50.58ms]
193.201.15.39:443#CY [324.87ms]
193.24.232.154:2053#CY [1307.82ms]
185.253.47.6:443#CZ [190.19ms]
37.205.15.169:443#CZ [190.98ms]
62.233.57.60:443#CZ [204.48ms]
185.253.46.27:443#CZ [230.92ms]
91.199.160.236:443#CZ [244.5ms]
2.56.176.32:443#CZ [258.54ms]
91.184.248.197:2053#CZ [263.51ms]
85.137.167.159:443#CZ [267.59ms]
87.236.146.43:443#CZ [278.24ms]
89.203.250.101:443#CZ [282.22ms]
89.144.8.2:8443#DE [129.48ms]
185.246.223.134:443#DE [132.58ms]
37.221.125.94:2053#DE [136.02ms]
45.9.116.82:8443#DE [136.88ms]
85.192.28.147:443#DE [137.06ms]
144.31.84.184:443#DE [137.36ms]
64.188.105.7:443#DE [137.5ms]
94.159.100.87:8443#DE [137.52ms]
84.21.189.164:443#DE [137.76ms]
18.185.128.209:443#DE [优选高速 139.1ms]
193.180.213.29:8443#DK [141.65ms]
193.180.215.142:443#DK [149.53ms]
193.181.214.170:8443#DK [149.69ms]
45.148.31.73:443#DK [152.7ms]
193.180.208.58:443#DK [156.79ms]
193.180.212.103:443#DK [156.94ms]
193.181.214.98:8443#DK [158.06ms]
193.181.213.227:443#DK [158.08ms]
193.181.210.149:443#DK [158.41ms]
89.28.236.192:8443#DK [162.13ms]
130.94.116.44:443#EC [344.15ms]
159.253.19.160:8443#EE [202.66ms]
45.12.68.99:443#EE [208.74ms]
5.101.116.231:443#EE [217.05ms]
150.241.101.102:8443#EE [218.01ms]
80.79.123.100:443#EE [218.16ms]
150.241.74.98:8443#EE [220.21ms]
5.101.114.243:443#EE [220.22ms]
159.253.21.82:443#EE [221.9ms]
159.253.21.228:443#EE [224.3ms]
5.101.114.88:8443#EE [229.79ms]
217.72.207.16:8443#ES [242.75ms]
31.57.190.55:443#ES [246.74ms]
31.57.190.51:443#ES [248.42ms]
31.57.190.34:443#ES [250.42ms]
31.57.190.41:443#ES [251.35ms]
31.57.190.66:443#ES [251.36ms]
31.57.190.5:443#ES [262.99ms]
31.57.190.30:443#ES [265.42ms]
31.57.190.69:443#ES [266.43ms]
185.232.205.152:443#ES [267.65ms]
45.12.146.156:443#FI [160.07ms]
83.147.216.12:443#FI [163.08ms]
185.231.206.196:8443#FI [165.31ms]
204.168.156.35:443#FI [174.54ms]
198.105.124.249:443#FI [178.95ms]
193.124.183.69:443#FI [179.49ms]
194.48.143.134:443#FI [180.98ms]
103.85.114.144:443#FI [181.38ms]
2.56.173.3:443#FI [181.57ms]
144.31.27.225:443#FI [182.67ms]
109.120.179.151:443#FR [141.88ms]
132.243.204.69:8443#FR [145.44ms]
161.97.138.90:443#FR [146.59ms]
45.84.88.204:8443#FR [148.21ms]
84.247.173.29:443#FR [150.22ms]
132.243.204.204:8443#FR [150.31ms]
132.243.204.161:8443#FR [150.81ms]
31.56.146.206:2053#FR [151.34ms]
45.39.255.27:8443#FR [151.66ms]
132.243.204.142:8443#FR [152.02ms]
176.124.204.49:443#GB [138.72ms]
77.221.155.76:443#GB [144.88ms]
138.124.101.67:443#GB [145.12ms]
5.182.87.170:443#GB [146.68ms]
57.129.137.87:8443#GB [150.27ms]
138.124.90.126:443#GB [150.54ms]
95.181.175.209:8443#GB [151.64ms]
147.45.69.229:443#GB [153.8ms]
212.113.106.4:443#GB [155.84ms]
18.134.196.127:443#GB [157.46ms]
151.236.29.97:443#GR [175.64ms]
38.54.29.210:2053#GR [1187.39ms]
91.250.248.151:443#GR [1288.86ms]
47.76.218.163:443#HK [42.85ms]
45.147.26.52:8443#HK [优选高速 44.58ms]
47.83.14.42:8443#HK [45.61ms]
45.136.14.61:2053#HK [48.34ms]
185.243.240.111:443#HK [48.45ms]
149.104.4.249:2053#HK [49.35ms]
47.243.183.61:443#HK [50.81ms]
45.135.119.123:443#HK [优选高速 55.15ms]
38.190.210.250:443#HK [58.69ms]
103.224.80.7:2087#HK [65.26ms]
5.181.2.248:8443#HR [163.34ms]
5.181.2.78:8443#HR [212.64ms]
5.181.2.41:8443#HR [1180.38ms]
5.181.2.41:443#HR [1224.04ms]
77.91.72.13:443#HU [164.57ms]
38.180.225.181:443#HU [168.52ms]
91.219.237.49:443#HU [207.69ms]
38.180.225.166:443#HU [213.42ms]
180.149.37.38:8443#HU [256.84ms]
43.218.77.16:443#ID [97.8ms]
172.232.226.233:443#ID [294.92ms]
156.244.1.250:8443#ID [297.28ms]
34.250.168.254:443#IE [192.13ms]
63.32.194.15:8443#IE [220.42ms]
34.240.243.226:443#IE [263.61ms]
54.229.164.147:8443#IE [263.82ms]
23.95.225.10:2053#IE [361.69ms]
63.32.194.15:2053#IE [1193.42ms]
94.131.114.70:443#IL [201.5ms]
185.239.48.55:8443#IL [203.98ms]
94.131.114.83:443#IL [217.22ms]
94.131.114.73:443#IL [235.4ms]
45.144.172.33:443#IL [246.21ms]
185.239.48.252:443#IL [252.54ms]
77.91.69.141:8443#IL [294.55ms]
80.178.58.56:443#IL [299.26ms]
4.240.110.47:443#IN [131.28ms]
45.89.105.65:2053#IN [172.01ms]
103.181.177.88:443#IN [174.0ms]
45.89.105.211:443#IN [191.4ms]
129.154.251.13:443#IN [199.54ms]
45.83.21.111:8443#IS [233.45ms]
89.147.109.212:443#IS [288.76ms]
194.247.182.120:8443#IS [306.25ms]
185.247.226.138:443#IS [1279.62ms]
45.92.70.176:8443#IT [143.71ms]
172.238.238.203:2053#IT [177.39ms]
132.243.205.87:8443#IT [222.34ms]
